transaction_id,product,region,quantity,price,timestamp,customer_id,customer_name,customer_age,customer_gender,customer_location,product_id,product_name,product_category,product_brand,product_rating,discount_applied,total_amount,payment_method,order_date,order_time,delivery_time
211920,,,5,175860.04,,6564.0,Customer_6564,38.0,Female,North India,71.0,Laptop,Wearables,OnePlus,3.7,0.07,817749.19,Net Banking,2025-05-31,09:15:02,2025-06-06 09:15:02
557557,,,5,66797.98,,5614.0,Customer_5614,34.0,Female,South India,20.0,TV,Wearables,Xiaomi,4.1,0.26,247152.53,UPI,2025-05-31,09:15:03,2025-06-06 09:15:03
570598,,,5,140128.99,,9899.0,Customer_9899,43.0,Female,North India,56.0,Smartphone,Home Appliances,Xiaomi,4.5,0.18,574528.86,Cash,2025-05-31,09:15:04,2025-06-02 09:15:04
965083,,,5,79979.75,,6011.0,Customer_6011,53.0,Female,West India,1.0,TV,Wearables,LG,4.9,0.18,327916.98,Cash,2025-05-31,09:15:05,2025-06-06 09:15:05
261003,,,1,52137.82,,4354.0,Customer_4354,41.0,Female,East India,84.0,Laptop,Wearables,Sony,4.9,0.21,41188.88,UPI,2025-05-31,09:15:06,2025-06-01 09:15:06
697757,,,1,27793.85,,3274.0,Customer_3274,30.0,Female,East India,19.0,TV,Wearables,Samsung,3.9,0.26,20567.45,Credit/Debit Card,2025-05-31,09:15:07,2025-06-01 09:15:07
975722,,,5,22305.0,,1137.0,Customer_1137,24.0,Female,West India,47.0,Headphones,Wearables,Sony,4.5,0.03,108179.25,Net Banking,2025-05-31,09:15:08,2025-06-01 09:15:08
188114,,,1,48039.54,,1799.0,Customer_1799,32.0,Female,East India,87.0,Washing Machine,Electronics,Samsung,3.8,0.04,46117.96,UPI,2025-05-31,09:15:09,2025-06-01 09:15:09
179368,,,3,8993.69,,3313.0,Customer_3313,44.0,Male,South India,25.0,Smartphone,Electronics,Apple,4.5,0.2,21584.86,Credit/Debit Card,2025-05-31,09:15:10,2025-06-01 09:15:10
585733,,,2,174782.92,,4620.0,Customer_4620,31.0,Male,East India,2.0,Laptop,Home Appliances,OnePlus,4.1,0.02,342574.52,Net Banking,2025-05-31,09:15:11,2025-06-04 09:15:11
841375,,,1,145461.33,,4138.0,Customer_4138,50.0,Female,North India,8.0,Smartphone,Electronics,LG,4.3,0.2,116369.06,Credit/Debit Card,2025-05-31,09:15:12,2025-06-02 09:15:12
630202,,,5,104667.79,,9002.0,Customer_9002,40.0,Female,West India,75.0,Smartphone,Wearables,Sony,4.1,0.08,481471.83,UPI,2025-05-31,09:15:13,2025-06-02 09:15:13
840174,,,3,55163.99,,1278.0,Customer_1278,46.0,Male,North India,99.0,Smartphone,Home Appliances,Sony,4.6,0.08,152252.61,UPI,2025-05-31,09:15:14,2025-06-07 09:15:14
781775,,,3,274436.78,,6481.0,Customer_6481,35.0,Male,North India,87.0,TV,Wearables,Xiaomi,5.0,0.04,790377.93,Cash,2025-05-31,09:15:15,2025-06-04 09:15:15
592608,,,5,17565.31,,7964.0,Customer_7964,18.0,Female,East India,29.0,Smartphone,Home Appliances,LG,4.3,0.29,62356.85,Credit/Debit Card,2025-05-31,09:15:16,2025-06-07 09:15:16
478574,,,2,31931.36,,8546.0,Customer_8546,19.0,Female,South India,72.0,Laptop,Electronics,Xiaomi,3.6,0.02,62585.47,Credit/Debit Card,2025-05-31,09:15:17,2025-06-01 09:15:17
968668,,,1,14616.63,,3784.0,Customer_3784,28.0,Female,West India,33.0,Smartwatch,Wearables,LG,4.3,0.13,12716.47,Credit/Debit Card,2025-05-31,09:15:18,2025-06-05 09:15:18
707985,,,3,49010.8,,5330.0,Customer_5330,58.0,Male,West India,96.0,Smartwatch,Electronics,Apple,4.3,0.27,107333.65,Net Banking,2025-05-31,09:15:19,2025-06-02 09:15:19
147552,,,3,121949.5,,3280.0,Customer_3280,33.0,Female,East India,46.0,Smartphone,Wearables,LG,4.1,0.02,358531.53,Cash,2025-05-31,09:15:20,2025-06-02 09:15:20
526232,,,5,28959.2,,3948.0,Customer_3948,46.0,Male,East India,97.0,Washing Machine,Wearables,OnePlus,3.5,0.22,112940.88,Credit/Debit Card,2025-05-31,09:15:21,2025-06-07 09:15:21
978266,,,1,19650.58,,4347.0,Customer_4347,59.0,Female,East India,34.0,Headphones,Wearables,LG,4.5,0.26,14541.43,Credit/Debit Card,2025-05-31,09:15:23,2025-06-07 09:15:23
103376,,,4,26822.97,,7392.0,Customer_7392,54.0,Male,West India,70.0,Washing Machine,Wearables,Apple,4.4,0.05,101927.29,Net Banking,2025-05-31,09:15:24,2025-06-07 09:15:24
770248,,,1,27030.5,,9182.0,Customer_9182,49.0,Female,North India,80.0,Smartwatch,Home Appliances,Samsung,4.1,0.08,24868.06,UPI,2025-05-31,09:15:25,2025-06-01 09:15:25
518355,,,1,145069.13,,6450.0,Customer_6450,53.0,Female,South India,60.0,Laptop,Electronics,Samsung,4.7,0.16,121858.07,UPI,2025-05-31,09:15:26,2025-06-05 09:15:26
340975,,,4,35236.75,,1461.0,Customer_1461,58.0,Female,North India,37.0,TV,Electronics,Apple,4.8,0.05,133899.65,Net Banking,2025-05-31,09:15:27,2025-06-01 09:15:27
872105,,,4,135399.81,,9958.0,Customer_9958,28.0,Female,East India,10.0,TV,Home Appliances,Xiaomi,3.7,0.13,471191.34,UPI,2025-05-31,09:15:28,2025-06-01 09:15:28
311987,,,4,250599.18,,6992.0,Customer_6992,23.0,Female,West India,56.0,TV,Wearables,Boat,4.5,0.26,741773.57,Credit/Debit Card,2025-05-31,09:15:29,2025-06-04 09:15:29
400461,,,5,262994.83,,9642.0,Customer_9642,36.0,Male,East India,41.0,TV,Wearables,Boat,4.6,0.08,1209776.22,UPI,2025-05-31,09:15:30,2025-06-07 09:15:30
167839,,,2,13109.09,,6594.0,Customer_6594,39.0,Male,North India,55.0,Headphones,Electronics,Samsung,3.5,0.24,19925.82,UPI,2025-05-31,09:15:31,2025-06-04 09:15:31
129610,,,2,105781.31,,4766.0,Customer_4766,60.0,Male,West India,9.0,Laptop,Electronics,Sony,4.0,0.29,150209.46,Cash,2025-05-31,09:15:32,2025-06-03 09:15:32
701617,,,3,239087.61,,1927.0,Customer_1927,33.0,Female,South India,33.0,TV,Electronics,Boat,4.9,0.18,588155.52,Credit/Debit Card,2025-05-31,09:15:33,2025-06-04 09:15:33
902422,,,2,40579.68,,4002.0,Customer_4002,28.0,Female,East India,4.0,Smartphone,Home Appliances,Sony,3.6,0.2,64927.49,Cash,2025-05-31,09:15:34,2025-06-06 09:15:34
793522,,,2,37049.12,,3476.0,Customer_3476,32.0,Female,West India,61.0,Smartphone,Wearables,Samsung,4.8,0.05,70393.33,UPI,2025-05-31,09:15:35,2025-06-04 09:15:35
520105,,,2,115906.44,,3736.0,Customer_3736,27.0,Female,West India,55.0,Laptop,Wearables,OnePlus,4.2,0.2,185450.3,UPI,2025-05-31,09:15:36,2025-06-03 09:15:36
412447,,,5,90540.75,,7917.0,Customer_7917,34.0,Female,South India,74.0,Smartphone,Wearables,OnePlus,4.1,0.22,353108.92,Credit/Debit Card,2025-05-31,09:15:37,2025-06-03 09:15:37
448391,,,1,5069.17,,9361.0,Customer_9361,49.0,Male,West India,75.0,Smartwatch,Electronics,Apple,3.6,0.24,3852.57,Cash,2025-05-31,09:15:38,2025-06-06 09:15:38
386090,,,4,90262.87,,4117.0,Customer_4117,34.0,Male,East India,61.0,TV,Electronics,Sony,3.8,0.3,252736.04,Credit/Debit Card,2025-05-31,09:15:39,2025-06-01 09:15:39
749978,,,2,28058.52,,3669.0,Customer_3669,51.0,Male,West India,25.0,Smartwatch,Wearables,Sony,4.9,0.16,47138.31,Cash,2025-05-31,09:15:40,2025-06-06 09:15:40
224101,,,2,27314.36,,4308.0,Customer_4308,56.0,Female,North India,28.0,Washing Machine,Wearables,Apple,3.7,0.0,54628.72,Credit/Debit Card,2025-05-31,09:15:41,2025-06-02 09:15:41
528117,,,5,12727.31,,2602.0,Customer_2602,46.0,Male,North India,66.0,Headphones,Home Appliances,OnePlus,4.6,0.06,59818.36,Net Banking,2025-05-31,09:15:42,2025-06-03 09:15:42
633826,,,5,82793.09,,7335.0,Customer_7335,59.0,Female,West India,11.0,Refrigerator,Electronics,Boat,4.9,0.15,351870.63,UPI,2025-05-31,09:15:43,2025-06-01 09:15:43
584970,,,4,142103.02,,3902.0,Customer_3902,19.0,Male,West India,97.0,Smartphone,Home Appliances,Boat,3.8,0.06,534307.36,UPI,2025-05-31,09:15:44,2025-06-04 09:15:44
675640,,,1,13966.07,,4312.0,Customer_4312,50.0,Female,North India,69.0,Headphones,Wearables,LG,4.1,0.03,13547.09,UPI,2025-05-31,09:15:45,2025-06-02 09:15:45
441459,,,4,16504.96,,9708.0,Customer_9708,58.0,Female,East India,39.0,Headphones,Home Appliances,Samsung,3.8,0.22,51495.48,Credit/Debit Card,2025-05-31,09:15:46,2025-06-07 09:15:46
1,Laptop,North,2,800.0,2025-05-28T14:00:00,,,,,,,,,,,,,,,,
2,Phone,South,5,300.0,2025-05-28T14:01:00,,,,,,,,,,,,,,,,
446908,,,2,61456.35,,4117.0,Customer_4117,24.0,Male,North India,4.0,Refrigerator,Wearables,Sony,4.8,0.23,94642.78,UPI,2025-05-31,09:14:07,2025-06-03 09:14:07
291755,,,2,25902.61,,1041.0,Customer_1041,25.0,Male,West India,95.0,Headphones,Electronics,LG,3.6,0.12,45588.59,Cash,2025-05-31,09:14:08,2025-06-05 09:14:08
749396,,,3,15747.6,,3480.0,Customer_3480,36.0,Female,West India,23.0,Smartwatch,Electronics,Samsung,4.4,0.08,43463.38,Net Banking,2025-05-31,09:14:09,2025-06-04 09:14:09
552049,,,3,29059.03,,2405.0,Customer_2405,22.0,Female,South India,69.0,Smartwatch,Home Appliances,OnePlus,3.9,0.25,65382.82,Cash,2025-05-31,09:14:10,2025-06-01 09:14:10
399995,,,1,38334.88,,8875.0,Customer_8875,38.0,Male,North India,89.0,Smartwatch,Electronics,Xiaomi,3.6,0.2,30667.9,Net Banking,2025-05-31,09:14:11,2025-06-03 09:14:11
515759,,,3,76772.88,,9286.0,Customer_9286,37.0,Male,West India,54.0,Refrigerator,Wearables,Boat,4.6,0.06,216499.52,Credit/Debit Card,2025-05-31,09:14:12,2025-06-01 09:14:12
127252,,,3,18172.47,,1672.0,Customer_1672,44.0,Male,North India,6.0,Washing Machine,Electronics,Boat,3.9,0.03,52881.89,UPI,2025-05-31,09:14:13,2025-06-01 09:14:13
166025,,,1,45650.01,,2884.0,Customer_2884,31.0,Female,East India,60.0,Refrigerator,Home Appliances,LG,4.6,0.22,35607.01,Credit/Debit Card,2025-05-31,09:14:15,2025-06-07 09:14:15
185866,,,5,77921.78,,8536.0,Customer_8536,51.0,Female,East India,65.0,Laptop,Electronics,Xiaomi,4.9,0.23,299998.85,UPI,2025-05-31,09:14:16,2025-06-02 09:14:16
640961,,,1,18699.12,,3464.0,Customer_3464,53.0,Male,South India,79.0,Headphones,Electronics,Sony,4.4,0.05,17764.16,Credit/Debit Card,2025-05-31,09:14:17,2025-06-04 09:14:17
713204,,,2,38447.45,,4259.0,Customer_4259,20.0,Male,East India,33.0,Refrigerator,Wearables,LG,4.0,0.2,61515.92,Net Banking,2025-05-31,09:14:18,2025-06-03 09:14:18
377848,,,2,18538.58,,7360.0,Customer_7360,19.0,Female,South India,1.0,Headphones,Electronics,Boat,4.1,0.17,30774.04,Cash,2025-05-31,09:14:19,2025-06-02 09:14:19
451150,,,5,140913.32,,5748.0,Customer_5748,43.0,Male,South India,21.0,Smartphone,Electronics,LG,4.7,0.08,648201.27,Net Banking,2025-05-31,09:14:20,2025-06-02 09:14:20
752319,,,1,47112.59,,2195.0,Customer_2195,45.0,Male,West India,28.0,Smartwatch,Home Appliances,LG,4.9,0.15,40045.7,UPI,2025-05-31,09:14:21,2025-06-01 09:14:21
168719,,,3,65009.26,,8343.0,Customer_8343,31.0,Female,West India,56.0,Washing Machine,Wearables,OnePlus,4.5,0.07,181375.84,UPI,2025-05-31,09:14:22,2025-06-04 09:14:22
236333,,,2,47812.85,,3894.0,Customer_3894,26.0,Male,East India,37.0,Refrigerator,Electronics,LG,4.2,0.16,80325.59,Cash,2025-05-31,09:14:23,2025-06-03 09:14:23
407155,,,4,95196.58,,8161.0,Customer_8161,36.0,Male,East India,49.0,Laptop,Home Appliances,Boat,3.6,0.07,354131.28,Net Banking,2025-05-31,09:14:24,2025-06-03 09:14:24
142870,,,5,9211.51,,2006.0,Customer_2006,38.0,Female,West India,7.0,Headphones,Home Appliances,Boat,3.7,0.29,32700.86,Net Banking,2025-05-31,09:14:25,2025-06-01 09:14:25
929482,,,1,47200.23,,1670.0,Customer_1670,51.0,Female,North India,67.0,Smartwatch,Home Appliances,Sony,4.0,0.01,46728.23,UPI,2025-05-31,09:14:26,2025-06-07 09:14:26
131381,,,3,32832.88,,4629.0,Customer_4629,24.0,Female,South India,20.0,Washing Machine,Home Appliances,Boat,4.5,0.13,85693.82,Net Banking,2025-05-31,09:14:27,2025-06-03 09:14:27
766732,,,4,31895.25,,9530.0,Customer_9530,51.0,Female,North India,18.0,Smartphone,Wearables,Boat,3.6,0.15,108443.85,Cash,2025-05-31,09:14:28,2025-06-03 09:14:28
474718,,,1,81904.97,,3987.0,Customer_3987,60.0,Male,North India,39.0,Smartphone,Wearables,Boat,4.4,0.27,59790.63,UPI,2025-05-31,09:14:29,2025-06-05 09:14:29
750711,,,1,14807.12,,3959.0,Customer_3959,30.0,Male,East India,80.0,Washing Machine,Wearables,Boat,3.7,0.27,10809.2,Net Banking,2025-05-31,09:14:30,2025-06-05 09:14:30
106956,,,3,25546.84,,6498.0,Customer_6498,25.0,Male,South India,98.0,Smartwatch,Home Appliances,Samsung,3.9,0.06,72042.09,UPI,2025-05-31,09:14:31,2025-06-01 09:14:31
174942,,,3,53815.51,,1363.0,Customer_1363,31.0,Male,South India,88.0,Washing Machine,Electronics,LG,4.8,0.28,116241.5,Cash,2025-05-31,09:14:32,2025-06-02 09:14:32
833901,,,5,170498.77,,2814.0,Customer_2814,48.0,Female,West India,76.0,Laptop,Electronics,Xiaomi,4.1,0.29,605270.63,Cash,2025-05-31,09:14:33,2025-06-07 09:14:33
675244,,,3,12358.56,,1037.0,Customer_1037,28.0,Female,North India,35.0,Smartwatch,Wearables,Apple,3.7,0.2,29660.54,Net Banking,2025-05-31,09:14:34,2025-06-03 09:14:34
426109,,,2,16595.13,,5172.0,Customer_5172,28.0,Male,North India,89.0,Refrigerator,Wearables,Xiaomi,3.9,0.18,27216.01,Credit/Debit Card,2025-05-31,09:14:35,2025-06-01 09:14:35
474290,,,4,9440.48,,3979.0,Customer_3979,57.0,Male,South India,80.0,Smartwatch,Electronics,Apple,4.9,0.08,34740.97,UPI,2025-05-31,09:14:36,2025-06-02 09:14:36
862810,,,1,69466.2,,9356.0,Customer_9356,51.0,Male,West India,29.0,Laptop,Home Appliances,Apple,4.8,0.15,59046.27,Cash,2025-05-31,09:14:37,2025-06-04 09:14:37
848520,,,1,232581.02,,2263.0,Customer_2263,47.0,Male,West India,27.0,TV,Electronics,Apple,4.0,0.16,195368.06,Net Banking,2025-05-31,09:14:38,2025-06-01 09:14:38
317492,,,2,9279.67,,5438.0,Customer_5438,29.0,Female,South India,81.0,Headphones,Home Appliances,OnePlus,4.2,0.28,13362.72,Net Banking,2025-05-31,09:14:39,2025-06-03 09:14:39
606239,,,3,45219.75,,7236.0,Customer_7236,35.0,Female,North India,82.0,Washing Machine,Wearables,Boat,4.2,0.06,127519.69,UPI,2025-05-31,09:14:40,2025-06-06 09:14:40
488215,,,1,48633.99,,6413.0,Customer_6413,29.0,Female,South India,13.0,TV,Electronics,Samsung,4.5,0.19,39393.53,Cash,2025-05-31,09:14:41,2025-06-04 09:14:41
405605,,,3,57866.26,,8320.0,Customer_8320,44.0,Male,South India,77.0,Washing Machine,Wearables,Boat,4.5,0.29,123255.13,Net Banking,2025-05-31,09:14:42,2025-06-02 09:14:42
913059,,,3,244230.18,,1824.0,Customer_1824,44.0,Male,North India,27.0,TV,Home Appliances,Xiaomi,4.3,0.16,615460.05,UPI,2025-05-31,09:14:43,2025-06-07 09:14:43
425884,,,5,17064.04,,5540.0,Customer_5540,46.0,Female,East India,13.0,Headphones,Wearables,LG,3.9,0.05,81054.19,Credit/Debit Card,2025-05-31,09:14:44,2025-06-03 09:14:44
607267,,,2,885.88,,2912.0,Customer_2912,45.0,Female,North India,16.0,Headphones,Wearables,Apple,4.5,0.26,1311.1,UPI,2025-05-31,09:14:45,2025-06-06 09:14:45
